"","route_id","trip_id","stop_id","stopid","muni","route_short_name"
"1",61,1414814,2374,100032,"Victoria",1
"2",61,1414814,2377,100035,"Victoria",1
"3",61,1428345,2608,100284,"Victoria",1
"4",61,1376093,3068,100764,"Oak Bay",1
"5",61,1407804,2528,100202,"Victoria",1
"6",61,1404296,2569,100244,"Victoria",1
"7",61,1376093,2962,100654,"Oak Bay",1
"8",61,1410059,3095,100791,"Oak Bay",1
"9",61,1428345,2403,100063,"Victoria",1
"10",61,1414816,2792,100475,"Victoria",1
"11",61,1414814,2941,100633,"Oak Bay",1
"12",61,1414814,2864,100552,"Oak Bay",1
"13",61,1376093,2397,100056,"Victoria",1
"14",61,1404296,2500,100174,"Victoria",1
"15",61,1384953,2617,100293,"Victoria",1
"16",61,1404296,2999,100694,"Oak Bay",1
"17",61,1428345,2428,100094,"Victoria",1
"18",61,1431849,2380,100039,"Victoria",1
"19",61,1414814,2818,100504,"Victoria",1
"20",61,1376093,2745,100425,"Victoria",1
"21",61,1411308,2413,100075,"Victoria",1
"22",61,1404296,2899,100589,"Oak Bay",1
"23",61,1431849,2525,100199,"Victoria",1
"24",61,1411308,2466,100138,"Victoria",1
"25",61,1384953,2869,100558,"Oak Bay",1
"26",61,1376093,3092,100788,"Oak Bay",1
"27",61,1407801,3069,100765,"Oak Bay",1
"28",61,1407801,2467,100139,"Victoria",1
"29",61,1384953,2892,100582,"Oak Bay",1
"30",61,1384953,2696,100375,"Victoria",1
"31",61,1404298,2901,100591,"Oak Bay",1
"32",61,1431849,2893,100583,"Oak Bay",1
"33",61,1411308,2678,100357,"Victoria",1
"34",61,1384953,3026,100721,"Oak Bay",1
"35",61,1404296,2402,100062,"Victoria",1
"36",61,1428344,3090,100786,"Oak Bay",1
"37",61,1431849,2937,100629,"Oak Bay",1
"38",61,1384953,2493,100167,"Victoria",1
"39",61,1376093,2814,100500,"Victoria",1
"40",61,1376093,3100,100796,"Oak Bay",1
"41",61,1376093,3020,100715,"Oak Bay",1
"42",61,1381226,2714,100393,"Victoria",1
"43",61,1384953,2433,100100,"Victoria",1
"44",61,1410059,2574,100249,"Victoria",1
"45",61,1414813,2439,100109,"Victoria",1
"46",61,1384953,2995,100690,"Oak Bay",1
"47",62,1407957,2420,100084,"Victoria",2
"48",62,1418501,2398,100058,"Victoria",2
"49",62,1426324,2554,100228,"Victoria",2
"50",62,1418501,2378,100036,"Victoria",2
"51",62,1418501,2410,100072,"Victoria",2
"52",62,1430579,2405,100065,"Victoria",2
"53",62,1418501,2393,100052,"Victoria",2
"54",62,1397967,2445,100116,"Victoria",2
"55",62,1438221,2424,100090,"Victoria",2
"56",62,1396324,2357,100012,"Victoria",2
"57",62,1411463,3208,100905,"Victoria",2
"58",62,1407957,2376,100034,"Victoria",2
"59",62,1426324,2965,100657,"Oak Bay",2
"60",62,1391493,2366,100022,"Victoria",2
"61",62,1412465,2441,100111,"Victoria",2
"62",62,1411463,2825,100512,"Victoria",2
"63",62,1374770,2718,100397,"Victoria",2
"64",62,1411463,2387,100046,"Victoria",2
"65",62,1391493,3046,100742,"Oak Bay",2
"66",62,1400719,2390,100049,"Victoria",2
"67",62,1388868,2620,100296,"Victoria",2
"68",62,1418501,2507,100181,"Victoria",2
"69",62,1396324,2930,100622,"Oak Bay",2
"70",62,1430579,2703,100382,"Victoria",2
"71",62,1411035,3061,100757,"Oak Bay",2
"72",62,1395458,2537,100211,"Victoria",2
"73",62,1395458,3019,100714,"Oak Bay",2
"74",62,1395458,2771,100453,"Victoria",2
"75",62,1438221,2898,100588,"Oak Bay",2
"76",62,1377687,2372,100030,"Victoria",2
"77",62,1426324,2418,100080,"Victoria",2
"78",62,1391493,2385,100044,"Victoria",2
"79",62,1395458,2848,100536,"Oak Bay",2
"80",62,1411463,2641,100317,"Victoria",2
"81",62,1418501,2816,100502,"Victoria",2
"82",62,1391493,2423,100089,"Victoria",2
"83",62,1397967,2485,100159,"Victoria",2
"84",62,1396324,2417,100079,"Victoria",2
"85",62,1407957,2476,100150,"Victoria",2
"86",62,1412465,2379,100037,"Victoria",2
"87",62,1374770,2365,100021,"Victoria",2
"88",62,1393949,2573,100248,"Victoria",2
"89",62,1411035,2353,100008,"Victoria",2
"90",62,1411463,2373,100031,"Victoria",2
"91",62,1391493,2636,100312,"Victoria",2
"92",62,1385132,2395,100054,"Victoria",2
"93",62,1407957,2416,100078,"Victoria",2
"94",62,1438221,2440,100110,"Victoria",2
"95",62,1430119,2940,100632,"Oak Bay",2
"96",62,1411463,3247,100946,"Victoria",2
"97",62,1407957,2358,100013,"Victoria",2
"98",62,1438221,2682,100361,"Victoria",2
"99",62,1396923,2356,100011,"Victoria",2
"100",62,1388868,2453,100125,"Victoria",2
"101",62,1407957,2884,100574,"Oak Bay",2
"102",62,1418501,2427,100093,"Victoria",2
"103",62,1400719,2495,100169,"Victoria",2
"104",62,1407957,2457,100129,"Victoria",2
"105",62,1393248,2364,100019,"Victoria",2
"106",62,1395458,2586,100262,"Victoria",2
"107",62,1430579,3255,100954,"Victoria",2
"108",62,1411463,2535,100209,"Victoria",2
"109",62,1374769,2422,100086,"Victoria",2
"110",62,1407957,2776,100458,"Victoria",2
"111",62,1412257,3006,100701,"Oak Bay",2
"112",62,1374769,3038,100734,"Oak Bay",2
"113",62,1412465,2991,100686,"Oak Bay",2
"114",62,1430579,2727,100406,"Victoria",2
"115",63,1409539,2548,100222,"Victoria",3
"116",63,1433944,2812,100498,"Victoria",3
"117",63,1416551,4661,103741,"Saanich",3
"118",63,1400229,2862,100550,"Victoria",3
"119",63,1400229,2656,100332,"Victoria",3
"120",63,1388484,2450,100122,"Victoria",3
"121",63,1400229,2437,100106,"Victoria",3
"122",63,1407415,2547,100221,"Victoria",3
"123",63,1401320,2456,100128,"Victoria",3
"124",63,1394077,118763,102111,"Victoria",3
"125",63,1392393,2449,100121,"Victoria",3
"126",63,1412859,2834,100522,"Oak Bay",3
"127",63,1400229,2526,100200,"Victoria",3
"128",63,1401320,2564,100238,"Victoria",3
"129",63,1438663,2448,100120,"Victoria",3
"130",63,1394077,2458,100130,"Victoria",3
"131",63,1431858,3284,100983,"Victoria",3
"132",63,1439565,2731,100410,"Victoria",3
"133",63,1379057,2833,100521,"Oak Bay",3
"134",63,1416551,2435,100102,"Victoria",3
"135",63,1392393,2870,100559,"Victoria",3
"136",63,1394077,2455,100127,"Victoria",3
"137",63,1405847,2794,100477,"Victoria",3
"138",63,1427876,2756,100438,"Victoria",3
"139",63,1439567,2859,100547,"Oak Bay",3
"140",63,1439565,2829,100517,"Victoria",3
"141",63,1392393,2351,100004,"Victoria",3
"142",63,1392393,2593,100269,"Victoria",3
"143",63,1396193,2804,100489,"Victoria",3
"144",63,1405851,2858,100546,"Oak Bay",3
"145",63,1401323,2808,100493,"Victoria",3
"146",63,1384438,2751,100432,"Victoria",3
"147",63,1407415,2828,100515,"Victoria",3
"148",63,1392393,2443,100113,"Victoria",3
"149",63,1388484,2516,100190,"Victoria",3
"150",63,1438663,2481,100155,"Victoria",3
"151",63,1401321,2757,100439,"Victoria",3
"152",63,1438663,2824,100511,"Oak Bay",3
"153",63,1392393,2627,100303,"Victoria",3
"154",63,1402135,2406,100068,"Victoria",3
"155",63,1394077,2778,100460,"Victoria",3
"156",63,1401323,2527,100201,"Victoria",3
"157",63,1411104,2442,100112,"Victoria",3
"158",63,1381804,2867,100556,"Oak Bay",3
"159",63,1400229,2681,100360,"Victoria",3
"160",63,1439565,2436,100105,"Victoria",3
"161",63,1433944,2446,100117,"Victoria",3
"162",63,1423123,2568,100243,"Victoria",3
"163",63,1396194,2429,100095,"Victoria",3
"164",63,1433944,2871,100561,"Victoria",3
"165",63,1401321,2769,100451,"Victoria",3
"166",63,1423121,2637,100313,"Victoria",3
"167",63,1401321,2658,100335,"Victoria",3
"168",63,1437774,2404,100064,"Victoria",3
"169",63,1411104,2430,100096,"Victoria",3
"170",63,1411104,2489,100163,"Victoria",3
"171",63,1433944,2386,100045,"Victoria",3
"172",63,1429464,2733,100412,"Victoria",3
"173",63,1396194,2482,100156,"Victoria",3
"174",63,1405847,2798,100482,"Victoria",3
"175",63,1439565,2510,100184,"Victoria",3
"176",63,1429465,2845,100533,"Victoria",3
"177",63,1381804,2459,100131,"Victoria",3
"178",63,1423123,2698,100377,"Victoria",3
